=== Suite started at 2022-07-15 12:02:08
=== Starting test, 1586 test cases
=cases         1586
=user          runner
=host          340-prefiks-master-43f3620
=hosts         340-prefiks-master-43f3620 
=emulator_vsn  13.0.2
=emulator      beam
=otp_release   25
=started       2022-07-15 12:02:08
=case          ejabberd_SUITE:init_per_suite
=logfile       ejabberd_suite.init_per_suite.html
=started       2022-07-15 12:02:08
=ended         2022-07-15 12:02:10
=result        ok
=elapsed       1.524651
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.html
=group_props   [{name,ldap},sequence]
=started       2022-07-15 12:02:10
=ended         2022-07-15 12:02:10
=result        ok
=elapsed       3.0e-6
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.707.html
=group_props   [{name,ldap_tests},sequence]
=started       2022-07-15 12:02:10
=ended         2022-07-15 12:02:10
=result        ok
=elapsed       6.0e-6
=case          ejabberd_SUITE:test_auth
=logfile       ejabberd_suite.test_auth.html
=started       2022-07-15 12:02:10
=ended         2022-07-15 12:02:10
=result        ok
=elapsed       0.11549
=case          ejabberd_SUITE:test_auth_fail
=logfile       ejabberd_suite.test_auth_fail.html
=started       2022-07-15 12:02:10
=ended         2022-07-15 12:02:10
=result        ok
=elapsed       0.046327
=case          ejabberd_SUITE:vcard_get
=logfile       ejabberd_suite.vcard_get.html
=started       2022-07-15 12:02:10
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.20634
=case          ejabberd_SUITE:ldap_shared_roster_get
=logfile       ejabberd_suite.ldap_shared_roster_get.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.130778
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.html
=group_props   [{name,ldap_tests},sequence]
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       3.0e-6
=group_time    1.116s
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.771.html
=group_props   [{name,ldap},sequence]
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       1.0e-6
=group_time    1.174s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.787.html
=group_props   [{name,no_db},sequence]
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       5.55e-4
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1698.html
=group_props   [{name,anonymous},parallel]
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:test_connect_bad_xml
=logfile       ejabberd_suite.test_connect_bad_xml.803.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.003168
=case          ejabberd_SUITE:test_connect_unexpected_xml
=logfile       ejabberd_suite.test_connect_unexpected_xml.1043.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.062309
=case          ejabberd_SUITE:test_connect_unknown_ns
=logfile       ejabberd_suite.test_connect_unknown_ns.947.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.078598
=case          ejabberd_SUITE:test_connect_bad_xmlns
=logfile       ejabberd_suite.test_connect_bad_xmlns.819.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.001301
=case          ejabberd_SUITE:test_connect_bad_ns_stream
=logfile       ejabberd_suite.test_connect_bad_ns_stream.835.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.001482
=case          ejabberd_SUITE:test_connect_bad_lang
=logfile       ejabberd_suite.test_connect_bad_lang.851.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.001854
=case          ejabberd_SUITE:test_connect_bad_to
=logfile       ejabberd_suite.test_connect_bad_to.867.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.001126
=case          ejabberd_SUITE:test_connect_missing_to
=logfile       ejabberd_suite.test_connect_missing_to.883.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.003067
=case          ejabberd_SUITE:test_connect
=logfile       ejabberd_suite.test_connect.899.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.033128
=case          ejabberd_SUITE:unauthenticated_iq
=logfile       ejabberd_suite.unauthenticated_iq.915.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.006463
=case          ejabberd_SUITE:unauthenticated_message
=logfile       ejabberd_suite.unauthenticated_message.931.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.00378
=case          ejabberd_SUITE:unauthenticated_presence
=logfile       ejabberd_suite.unauthenticated_presence.963.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.003396
=case          ejabberd_SUITE:test_starttls
=logfile       ejabberd_suite.test_starttls.979.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.005295
=case          ejabberd_SUITE:test_auth
=logfile       ejabberd_suite.test_auth.995.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.085567
=case          ejabberd_SUITE:test_zlib
=logfile       ejabberd_suite.test_zlib.1011.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.002604
=case          ejabberd_SUITE:test_bind
=logfile       ejabberd_suite.test_bind.1027.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.104659
=case          ejabberd_SUITE:test_open_session
=logfile       ejabberd_suite.test_open_session.1059.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.103459
=case          ejabberd_SUITE:codec_failure
=logfile       ejabberd_suite.codec_failure.1075.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.103498
=case          ejabberd_SUITE:unsupported_query
=logfile       ejabberd_suite.unsupported_query.1091.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:12
=result        ok
=elapsed       0.231115
=case          ejabberd_SUITE:bad_nonza
=logfile       ejabberd_suite.bad_nonza.1107.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.101933
=case          ejabberd_SUITE:invalid_from
=logfile       ejabberd_suite.invalid_from.1123.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.102735
=case          ejabberd_SUITE:ping
=logfile       ejabberd_suite.ping.1139.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.209048
=case          ejabberd_SUITE:version
=logfile       ejabberd_suite.version.1155.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:11
=result        ok
=elapsed       0.166615
=case          ejabberd_SUITE:time
=logfile       ejabberd_suite.time.1171.html
=started       2022-07-15 12:02:11
=ended         2022-07-15 12:02:12
=result        ok
=elapsed       0.255853
=case          ejabberd_SUITE:stats
=logfile       ejabberd_suite.stats.1187.html
=started       2022-07-15 12:02:11
