=== Suite started at 2023-12-27 06:52:28
=== Starting test, 1586 test cases
=cases         1586
=user          runner
=host          645-alexeyshch-master-8d2d3a6
=hosts         645-alexeyshch-master-8d2d3a6 
=emulator_vsn  9.0.5
=emulator      beam
=otp_release   20
=started       2023-12-27 06:52:28
=case          ejabberd_SUITE:init_per_suite
=logfile       ejabberd_suite.init_per_suite.html
=started       2023-12-27 06:52:28
=ended         2023-12-27 06:52:31
=result        ok
=elapsed       2.726184
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.html
=group_props   [{name,ldap},sequence]
=started       2023-12-27 06:52:31
=ended         2023-12-27 06:52:31
=result        ok
=elapsed       3.0e-6
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.197.html
=group_props   [{name,ldap_tests},sequence]
=started       2023-12-27 06:52:31
=ended         2023-12-27 06:52:31
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:test_auth
=logfile       ejabberd_suite.test_auth.html
=started       2023-12-27 06:52:31
=ended         2023-12-27 06:52:32
=result        ok
=elapsed       0.316953
=case          ejabberd_SUITE:test_auth_fail
=logfile       ejabberd_suite.test_auth_fail.html
=started       2023-12-27 06:52:32
=ended         2023-12-27 06:52:32
=result        ok
=elapsed       0.069742
=case          ejabberd_SUITE:vcard_get
=logfile       ejabberd_suite.vcard_get.html
=started       2023-12-27 06:52:32
=ended         2023-12-27 06:52:32
=result        ok
=elapsed       0.385391
=case          ejabberd_SUITE:ldap_shared_roster_get
=logfile       ejabberd_suite.ldap_shared_roster_get.html
=started       2023-12-27 06:52:32
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       0.17822
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.html
=group_props   [{name,ldap_tests},sequence]
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       4.0e-6
=group_time    2.014s
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.1379.html
=group_props   [{name,ldap},sequence]
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       1.0e-6
=group_time    2.068s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1411.html
=group_props   [{name,no_db},sequence]
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       6.57e-4
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1443.html
=group_props   [{name,anonymous},parallel]
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       7.0e-6
=case          ejabberd_SUITE:test_connect_bad_xml
=logfile       ejabberd_suite.test_connect_bad_xml.1475.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       9.64e-4
=case          ejabberd_SUITE:test_connect_unexpected_xml
=logfile       ejabberd_suite.test_connect_unexpected_xml.1794.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       0.073604
=case          ejabberd_SUITE:test_connect_unknown_ns
=logfile       ejabberd_suite.test_connect_unknown_ns.1858.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       0.097165
=case          ejabberd_SUITE:test_connect_bad_xmlns
=logfile       ejabberd_suite.test_connect_bad_xmlns.1826.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       0.001001
=case          ejabberd_SUITE:test_connect_bad_ns_stream
=logfile       ejabberd_suite.test_connect_bad_ns_stream.1890.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       0.00138
=case          ejabberd_SUITE:test_connect_bad_lang
=logfile       ejabberd_suite.test_connect_bad_lang.1922.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       0.001484
=case          ejabberd_SUITE:test_connect_bad_to
=logfile       ejabberd_suite.test_connect_bad_to.1954.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       0.008989
=case          ejabberd_SUITE:test_connect_missing_to
=logfile       ejabberd_suite.test_connect_missing_to.1986.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       0.006209
=case          ejabberd_SUITE:test_connect
=logfile       ejabberd_suite.test_connect.2018.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       0.069022
=case          ejabberd_SUITE:unauthenticated_iq
=logfile       ejabberd_suite.unauthenticated_iq.2050.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       6.15e-4
=case          ejabberd_SUITE:unauthenticated_message
=logfile       ejabberd_suite.unauthenticated_message.2082.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       0.002089
=case          ejabberd_SUITE:unauthenticated_presence
=logfile       ejabberd_suite.unauthenticated_presence.2114.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       0.001877
=case          ejabberd_SUITE:test_starttls
=logfile       ejabberd_suite.test_starttls.2146.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       0.145475
=case          ejabberd_SUITE:test_auth
=logfile       ejabberd_suite.test_auth.2178.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       0.178905
=case          ejabberd_SUITE:test_zlib
=logfile       ejabberd_suite.test_zlib.2242.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:33
=result        ok
=elapsed       0.001853
=case          ejabberd_SUITE:test_bind
=logfile       ejabberd_suite.test_bind.1507.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:34
=result        ok
=elapsed       0.102173
=case          ejabberd_SUITE:test_open_session
=logfile       ejabberd_suite.test_open_session.1603.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:34
=result        ok
=elapsed       0.10182
=case          ejabberd_SUITE:codec_failure
=logfile       ejabberd_suite.codec_failure.1635.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:34
=result        ok
=elapsed       0.101514
=case          ejabberd_SUITE:unsupported_query
=logfile       ejabberd_suite.unsupported_query.1667.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:34
=result        ok
=elapsed       0.274036
=case          ejabberd_SUITE:bad_nonza
=logfile       ejabberd_suite.bad_nonza.2306.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:34
=result        ok
=elapsed       0.143823
=case          ejabberd_SUITE:invalid_from
=logfile       ejabberd_suite.invalid_from.2370.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:34
=result        ok
=elapsed       0.101368
=case          ejabberd_SUITE:ping
=logfile       ejabberd_suite.ping.261.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:34
=result        ok
=elapsed       0.157983
=case          ejabberd_SUITE:version
=logfile       ejabberd_suite.version.325.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:34
=result        ok
=elapsed       0.148746
=case          ejabberd_SUITE:time
=logfile       ejabberd_suite.time.293.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:34
=result        ok
=elapsed       0.336647
=case          ejabberd_SUITE:stats
=logfile       ejabberd_suite.stats.357.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:34
=result        ok
=elapsed       0.290886
=case          ejabberd_SUITE:disco
=logfile       ejabberd_suite.disco.389.html
=started       2023-12-27 06:52:33
=ended         2023-12-27 06:52:34
=result        ok
=elapsed       0.30748
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2020.html
=group_props   [{name,anonymous},parallel]
=started       2023-12-27 06:52:34
=ended         2023-12-27 06:52:34
=result        ok
=elapsed       3.0e-6
=group_time    0.847s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2052.html
=group_props   [{name,presence_and_s2s},sequence]
=started       2023-12-27 06:52:34
=ended         2023-12-27 06:52:34
=result        ok
=elapsed       7.0e-6
=case          ejabberd_SUITE:test_auth_fail
=logfile       ejabberd_suite.test_auth_fail.2084.html
=started       2023-12-27 06:52:34
=ended         2023-12-27 06:52:34
=result        ok
=elapsed       0.001177
=case          ejabberd_SUITE:presence
=logfile       ejabberd_suite.presence.html
=started       2023-12-27 06:52:34
=ended         2023-12-27 06:52:34
=result        ok
=elapsed       0.101564
=case          ejabberd_SUITE:s2s_dialback
=logfile       ejabberd_suite.s2s_dialback.html
=started       2023-12-27 06:52:34
=ended         2023-12-27 06:52:34
=result        ok
=elapsed       0.376327
=case          ejabberd_SUITE:s2s_optional
=logfile       ejabberd_suite.s2s_optional.html
=started       2023-12-27 06:52:34
=ended         2023-12-27 06:52:34
=result        ok
=elapsed       0.200344
=case          ejabberd_SUITE:s2s_required
=logfile       ejabberd_suite.s2s_required.html
=started       2023-12-27 06:52:34
=ended         2023-12-27 06:52:35
=result        ok
=elapsed       0.183713
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2308.html
=group_props   [{name,presence_and_s2s},sequence]
=started       2023-12-27 06:52:35
=ended         2023-12-27 06:52:35
=result        ok
=elapsed       3.0e-6
=group_time    1.040s
=case          ejabberd_SUITE:auth_external
=logfile       ejabberd_suite.auth_external.html
=started       2023-12-27 06:52:35
=ended         2023-12-27 06:52:35
=result        ok
=elapsed       0.007575
=case          ejabberd_SUITE:auth_external_no_jid
=logfile       ejabberd_suite.auth_external_no_jid.html
=started       2023-12-27 06:52:35
=ended         2023-12-27 06:52:35
=result        ok
=elapsed       0.006742
=case          ejabberd_SUITE:auth_external_no_user
=logfile       ejabberd_suite.auth_external_no_user.html
=started       2023-12-27 06:52:35
=ended         2023-12-27 06:52:35
=result        ok
=elapsed       0.007457
=case          ejabberd_SUITE:auth_external_malformed_jid
=logfile       ejabberd_suite.auth_external_malformed_jid.html
=started       2023-12-27 06:52:35
=ended         2023-12-27 06:52:35
=result        ok
=elapsed       0.005524
=case          ejabberd_SUITE:auth_external_wrong_jid
=logfile       ejabberd_suite.auth_external_wrong_jid.html
=started       2023-12-27 06:52:35
=ended         2023-12-27 06:52:35
=result        ok
=elapsed       0.005758
=case          ejabberd_SUITE:auth_external_wrong_server
=logfile       ejabberd_suite.auth_external_wrong_server.html
=started       2023-12-27 06:52:35
=ended         2023-12-27 06:52:35
=result        ok
=elapsed       0.006002
=case          ejabberd_SUITE:auth_external_invalid_cert
=logfile       ejabberd_suite.auth_external_invalid_cert.html
=started       2023-12-27 06:52:35
=ended         2023-12-27 06:52:35
=result        ok
=elapsed       0.006343
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2500.html
=group_props   [{name,jidprep_single},sequence]
=started       2023-12-27 06:52:35
=ended         2023-12-27 06:52:35
=result        ok
=elapsed       6.0e-6
=case          ejabberd_SUITE:jidprep_feature_enabled
=logfile       ejabberd_suite.jidprep_feature_enabled.html
=started       2023-12-27 06:52:35
=ended         2023-12-27 06:52:35
=result        ok
=elapsed       0.102711
=case          ejabberd_SUITE:jidprep_normalize_jid
=logfile       ejabberd_suite.jidprep_normalize_jid.html
=started       2023-12-27 06:52:35
=ended         2023-12-27 06:52:35
=result        ok
=elapsed       0.139736
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2531.html
=group_props   [{name,jidprep_single},sequence]
=started       2023-12-27 06:52:35
=ended         2023-12-27 06:52:35
=result        ok
=elapsed       5.0e-6
=group_time    0.331s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.2563.html
=group_props   [{name,sm_single},sequence]
=started       2023-12-27 06:52:35
=ended         2023-12-27 06:52:35
=result        ok
=elapsed       7.0e-6
=case          ejabberd_SUITE:sm_feature_enabled
=logfile       ejabberd_suite.sm_feature_enabled.html
=started       2023-12-27 06:52:35
=ended         2023-12-27 06:52:35
=result        ok
=elapsed       0.101268
=case          ejabberd_SUITE:sm_enable
=logfile       ejabberd_suite.sm_enable.html
=started       2023-12-27 06:52:35
=ended         2023-12-27 06:52:36
=result        ok
=elapsed       0.045318
=case          ejabberd_SUITE:sm_resume
=logfile       ejabberd_suite.sm_resume.html
=started       2023-12-27 06:52:36
=ended         2023-12-27 06:52:36
=result        ok
=elapsed       0.127608
=case          ejabberd_SUITE:sm_resume_failed
=logfile       ejabberd_suite.sm_resume_failed.html
=started       2023-12-27 06:52:36
=ended         2023-12-27 06:52:41
=result        ok
=elapsed       5.002677
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.3138.html
=group_props   [{name,sm_single},sequence]
=started       2023-12-27 06:52:41
=ended         2023-12-27 06:52:41
=result        ok
=elapsed       2.0e-6
=group_time    5.423s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.3170.html
=group_props   [{name,sm_master_slave},sequence]
=started       2023-12-27 06:52:41
=ended         2023-12-27 06:52:41
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.3202.html
=group_props   [{name,sm_queue_limit},parallel]
=started       2023-12-27 06:52:41
=ended         2023-12-27 06:52:41
=result        ok
=elapsed       2.0e-6
=case          ejabberd_SUITE:sm_queue_limit_master
=logfile       ejabberd_suite.sm_queue_limit_master.3234.html
=started       2023-12-27 06:52:41
=ended         2023-12-27 06:52:41
=result        ok
=elapsed       0.250749
=case          ejabberd_SUITE:sm_queue_limit_slave
=logfile       ejabberd_suite.sm_queue_limit_slave.3266.html
=started       2023-12-27 06:52:41
=ended         2023-12-27 06:52:41
=result        ok
=elapsed       0.148617
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.3330.html
=group_props   [{name,sm_queue_limit},parallel]
=started       2023-12-27 06:52:41
=ended         2023-12-27 06:52:41
=result        ok
=elapsed       3.0e-6
=group_time    0.307s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.3362.html
=group_props   [{name,sm_queue_limit_detached},parallel]
=started       2023-12-27 06:52:41
=ended         2023-12-27 06:52:41
=result        ok
=elapsed       3.0e-6
=case          ejabberd_SUITE:sm_queue_limit_detached_master
=logfile       ejabberd_suite.sm_queue_limit_detached_master.3394.html
=started       2023-12-27 06:52:41
=ended         2023-12-27 06:52:41
=result        ok
=elapsed       0.152253
=case          ejabberd_SUITE:sm_queue_limit_detached_slave
=logfile       ejabberd_suite.sm_queue_limit_detached_slave.3426.html
=started       2023-12-27 06:52:41
=ended         2023-12-27 06:52:41
=result        ok
=elapsed       0.001398
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.3522.html
=group_props   [{name,sm_queue_limit_detached},parallel]
=started       2023-12-27 06:52:41
=ended         2023-12-27 06:52:41
=result        ok
=elapsed       3.0e-6
=group_time    0.208s
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.3554.html
=group_props   [{name,sm_master_slave},sequence]
=started       2023-12-27 06:52:41
=ended         2023-12-27 06:52:41
=result        ok
=elapsed       2.0e-6
=group_time    0.590s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.3586.html
=group_props   [{name,muc_single},sequence]
=started       2023-12-27 06:52:41
=ended         2023-12-27 06:52:41
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:muc_service_presence_error
=logfile       ejabberd_suite.muc_service_presence_error.html
=started       2023-12-27 06:52:41
=ended         2023-12-27 06:52:42
=result        ok
=elapsed       0.189877
=case          ejabberd_SUITE:muc_service_message_error
=logfile       ejabberd_suite.muc_service_message_error.html
