=== Suite started at 2024-12-18 20:04:42
=== Starting test, 1598 test cases
=cases         1598
=user          runner
=host          876-weiss-master-8cfcc69
=hosts         876-weiss-master-8cfcc69 
=emulator_vsn  14.2.5.5
=emulator      beam
=otp_release   26
=started       2024-12-18 20:04:42
=case          ejabberd_SUITE:init_per_suite
=logfile       ejabberd_suite.init_per_suite.html
=started       2024-12-18 20:04:42
=ended         2024-12-18 20:04:45
=result        ok
=elapsed       2.759207s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.html
=group_props   [{name,ldap},sequence]
=started       2024-12-18 20:04:45
=ended         2024-12-18 20:04:45
=result        ok
=elapsed       0.000001s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1412.html
=group_props   [{name,ldap_tests},sequence]
=started       2024-12-18 20:04:45
=ended         2024-12-18 20:04:45
=result        ok
=elapsed       0.000003s
=case          ejabberd_SUITE:test_auth
=logfile       ejabberd_suite.test_auth.html
=started       2024-12-18 20:04:45
=ended         2024-12-18 20:04:45
=result        ok
=elapsed       0.173981s
=case          ejabberd_SUITE:test_auth_fail
=logfile       ejabberd_suite.test_auth_fail.html
=started       2024-12-18 20:04:45
=ended         2024-12-18 20:04:45
=result        ok
=elapsed       0.033415s
=case          ejabberd_SUITE:vcard_get
=logfile       ejabberd_suite.vcard_get.html
=started       2024-12-18 20:04:45
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.183119s
=case          ejabberd_SUITE:ldap_shared_roster_get
=logfile       ejabberd_suite.ldap_shared_roster_get.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.122713s
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.html
=group_props   [{name,ldap_tests},sequence]
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.000005s
=group_time    1.168s
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.1444.html
=group_props   [{name,ldap},sequence]
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.000000s
=group_time    1.220s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1476.html
=group_props   [{name,no_db},sequence]
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.000494s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1508.html
=group_props   [{name,anonymous},parallel]
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.000007s
=case          ejabberd_SUITE:test_connect_bad_xml
=logfile       ejabberd_suite.test_connect_bad_xml.867.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.001856s
=case          ejabberd_SUITE:test_connect_unexpected_xml
=logfile       ejabberd_suite.test_connect_unexpected_xml.931.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.065947s
=case          ejabberd_SUITE:test_connect_unknown_ns
=logfile       ejabberd_suite.test_connect_unknown_ns.899.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.087310s
=case          ejabberd_SUITE:test_connect_bad_xmlns
=logfile       ejabberd_suite.test_connect_bad_xmlns.1572.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.000889s
=case          ejabberd_SUITE:test_connect_bad_ns_stream
=logfile       ejabberd_suite.test_connect_bad_ns_stream.1540.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.000840s
=case          ejabberd_SUITE:test_connect_bad_lang
=logfile       ejabberd_suite.test_connect_bad_lang.1604.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.000924s
=case          ejabberd_SUITE:test_connect_bad_to
=logfile       ejabberd_suite.test_connect_bad_to.1636.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.000775s
=case          ejabberd_SUITE:test_connect_missing_to
=logfile       ejabberd_suite.test_connect_missing_to.963.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.000833s
=case          ejabberd_SUITE:test_connect
=logfile       ejabberd_suite.test_connect.995.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.090427s
=case          ejabberd_SUITE:unauthenticated_iq
=logfile       ejabberd_suite.unauthenticated_iq.1027.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.001249s
=case          ejabberd_SUITE:unauthenticated_message
=logfile       ejabberd_suite.unauthenticated_message.1059.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.001503s
=case          ejabberd_SUITE:unauthenticated_presence
=logfile       ejabberd_suite.unauthenticated_presence.2018.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.000771s
=case          ejabberd_SUITE:test_starttls
=logfile       ejabberd_suite.test_starttls.1091.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.070858s
=case          ejabberd_SUITE:test_auth
=logfile       ejabberd_suite.test_auth.1123.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.094771s
=case          ejabberd_SUITE:test_zlib
=logfile       ejabberd_suite.test_zlib.1954.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.002410s
=case          ejabberd_SUITE:test_bind
=logfile       ejabberd_suite.test_bind.1986.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.102081s
=case          ejabberd_SUITE:test_open_session
=logfile       ejabberd_suite.test_open_session.2050.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.101743s
=case          ejabberd_SUITE:codec_failure
=logfile       ejabberd_suite.codec_failure.2082.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.102789s
=case          ejabberd_SUITE:unsupported_query
=logfile       ejabberd_suite.unsupported_query.2114.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.171531s
=case          ejabberd_SUITE:bad_nonza
=logfile       ejabberd_suite.bad_nonza.2146.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.143903s
=case          ejabberd_SUITE:invalid_from
=logfile       ejabberd_suite.invalid_from.2178.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.103964s
=case          ejabberd_SUITE:ping
=logfile       ejabberd_suite.ping.677.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.173448s
=case          ejabberd_SUITE:version
=logfile       ejabberd_suite.version.709.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.166064s
=case          ejabberd_SUITE:time
=logfile       ejabberd_suite.time.773.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.213833s
=case          ejabberd_SUITE:stats
=logfile       ejabberd_suite.stats.741.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.265474s
=case          ejabberd_SUITE:disco
=logfile       ejabberd_suite.disco.805.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.177703s
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.1956.html
=group_props   [{name,anonymous},parallel]
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.000002s
=group_time    0.554s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1988.html
=group_props   [{name,presence_and_s2s},sequence]
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.000004s
=case          ejabberd_SUITE:test_auth_fail
=logfile       ejabberd_suite.test_auth_fail.2850.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:46
=result        ok
=elapsed       0.001852s
=case          ejabberd_SUITE:presence
=logfile       ejabberd_suite.presence.html
=started       2024-12-18 20:04:46
=ended         2024-12-18 20:04:47
=result        ok
=elapsed       0.102301s
=case          ejabberd_SUITE:s2s_dialback
=logfile       ejabberd_suite.s2s_dialback.html
=started       2024-12-18 20:04:47
=ended         2024-12-18 20:04:47
=result        ok
=elapsed       0.255615s
=case          ejabberd_SUITE:s2s_optional
=logfile       ejabberd_suite.s2s_optional.html
=started       2024-12-18 20:04:47
=ended         2024-12-18 20:04:47
=result        ok
=elapsed       0.165783s
