=== Suite started at 2023-01-16 15:50:27
=== Starting test, 1586 test cases
=cases         1586
=user          runner
=host          81-prefiks-master-4566c82
=hosts         81-prefiks-master-4566c82 
=emulator_vsn  8.3.5.7
=emulator      beam
=otp_release   19
=started       2023-01-16 15:50:28
=case          ejabberd_SUITE:init_per_suite
=logfile       ejabberd_suite.init_per_suite.html
=started       2023-01-16 15:50:28
=ended         2023-01-16 15:50:32
=result        ok
=elapsed       4.060674
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.html
=group_props   [{name,ldap},sequence]
=started       2023-01-16 15:50:32
=ended         2023-01-16 15:50:32
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1362.html
=group_props   [{name,ldap_tests},sequence]
=started       2023-01-16 15:50:32
=ended         2023-01-16 15:50:32
=result        ok
=elapsed       7.0e-6
=case          ejabberd_SUITE:test_auth
=logfile       ejabberd_suite.test_auth.html
=started       2023-01-16 15:50:32
=ended         2023-01-16 15:50:34
=result        ok
=elapsed       0.555193
=case          ejabberd_SUITE:test_auth_fail
=logfile       ejabberd_suite.test_auth_fail.html
=started       2023-01-16 15:50:34
=ended         2023-01-16 15:50:35
=result        ok
=elapsed       0.135907
=case          ejabberd_SUITE:vcard_get
=logfile       ejabberd_suite.vcard_get.html
=started       2023-01-16 15:50:35
=ended         2023-01-16 15:50:35
=result        ok
=elapsed       0.637084
=case          ejabberd_SUITE:ldap_shared_roster_get
=logfile       ejabberd_suite.ldap_shared_roster_get.html
=started       2023-01-16 15:50:35
=ended         2023-01-16 15:50:36
=result        ok
=elapsed       0.21268
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.html
=group_props   [{name,ldap_tests},sequence]
=started       2023-01-16 15:50:36
=ended         2023-01-16 15:50:36
=result        ok
=elapsed       4.0e-6
=group_time    3.667s
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.1011.html
=group_props   [{name,ldap},sequence]
=started       2023-01-16 15:50:36
=ended         2023-01-16 15:50:36
=result        ok
=elapsed       0.0
=group_time    3.736s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1027.html
=group_props   [{name,no_db},sequence]
=started       2023-01-16 15:50:36
=ended         2023-01-16 15:50:36
=result        ok
=elapsed       0.002422
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1043.html
